Start Location,Path Taken,To Destination
1,H,S
1,H,S
1,H,N
1,H,N
1,H,S
1,H,S
1,E,S
1,H,S
1,C,N
1,D,N
1,E,S
1,H,S
1,D,S
1,A,S
1,A,S
1,H,N
1,H,S
1,E,S
1,H,S
1,H,S
1,H,S
1,C,N
1,C,N
1,D,S
1,D,S
1,H,N
1,H,N
1,H,S
1,H,S
1,G,N
1,G,N
1,H,S
1,A,N
1,A,N
1,H,N
2,H,S
2,H,S
2,D,S
2,E,S
2,H,S
2,H,S
2,D,N
2,G,N
2,H,N
2,A,S
2,H,N
2,H,N
2,H,S
2,D,N
2,D,S
2,H,N
2,E,S
2,H,S
2,G,N
2,D,N
2,D,N
2,D,N
2,D,N
2,C,S
2,C,N
2,H,N
3,H,N
3,H,S
3,H,S
3,H,S
3,C,N
3,D,N
3,D,N
3,H,N
3,E,S
3,A,S
3,A,N
3,H,S
3,H,S
3,H,S
3,H,S
3,H,S
3,H,N
3,H,S
3,H,S
3,H,S
3,D,S
3,A,S
3,H,S
3,H,S
3,C,S
3,C,S
3,E,S
3,D,S
3,C,S
3,C,N
3,D,N
3,D,N
3,D,N
3,D,N
3,H,N
3,D,N
4,F,N
4,D,N
4,H,S
4,H,S
4,H,S
4,H,S
4,D,S
4,D,S
4,D,S
4,H,N
4,H,N
4,H,N
4,D,S
4,D,S
4,D,S
4,D,S
4,G,S
4,E,N
4,E,N
4,E,N
4,E,S
4,D,S
4,H,N
4,H,N
4,H,N
4,D,S
4,D,S
4,C,S
4,H,S
4,D,N
4,D,N
4,D,N
4,D,N
4,G,N
4,H,N
4,D,N
4,D,N
4,B,S
4,C,S
4,A,N
4,E,N
4,D,S
4,A,S
4,E,S
4,H,N
4,C,S
4,C,S
4,C,S
4,A,N
4,D,N
4,D,S
4,H,N
4,H,S
4,C,N
4,D,N
4,D,N
4,D,S
4,H,S
4,H,S
4,H,S
4,H,S
4,H,S
4,A,N
4,H,N
4,A,N
4,H,S
4,A,N
4,D,N
4,B,N
4,D,N
4,H,N
4,A,S
4,D,S
4,A,N
4,G,S
4,H,S
4,H,S
4,A,S
4,H,N
4,C,S
4,H,N
4,H,S
